route_type,gene_clean,evidence_node,EOBC_group,activity_dominant_group,eobc_group_match_source,Family6,pathway_program,activity_contrast_z,label_meth_rna_class,rna_support_source,meth_rna_label_match_source,rf_METH,rf_METH_source,rf_RNA,rf_RNA_source,rf_METH_match_source,rf_RNA_match_source,rf_dom,rf_source_targets,best_fdr,TIL_rho,TIL_q,TMB_rho,TMB_q,domain_source_check,supplement_match
OS,BCL2A1,OS | Protective,G1 | H,G1 | H,True,Immune,Immune | Macrophage Activation,0.8591812085353221,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,6.73617231637361,6.73617231637361,True,True,RF R-dominant,RNA: Immune,,,,,,KM p<0.05,True
OS,CHAF1B,OS | Adverse,G3 | L-like,G3 | L-like,True,Repair,Cell Cycle Checkpoint,1.3400017992703743,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,5.24787595723277,5.24787595723277,True,True,RF R-dominant,RNA: Cell Cycle Checkpoint,,,,,,KM p<0.05,True
OS,CPLX1,OS | Adverse,G3 | L-like,G3 | L-like,True,Immune,Immune | Cytokine Signaling,1.2107441737862787,Meth-RNA positive,Meth-RNA positive,True,0.0,0.0,8.33554566253473,8.33554566253473,True,True,RF R-dominant,RNA: Cytokine Signaling,,,,,,KM p<0.05,True
Immune,AURKB,Immune | TIL/TMB positive,G1 | H,G1 | H,True,Repair,Base Excision Repair,1.6315339755288727,Meth-RNA weak,Meth-RNA weak,True,0.0,0.0,6.55887060228444,6.55887060228444,True,True,RF R-dominant,RNA: Base Excision Repair,,0.2411677977146901,0.1648928445682935,0.3836574531589429,0.0281803814870105,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,C1QTNF6,Immune | TIL/TMB negative,G4 | L,G4 | L,True,Repair,Chromatin Remodeling,1.5842240068106266,Meth-RNA inverse,Meth-RNA inverse,True,8.50768799665132,8.50768799665132,0.0,0.0,True,True,RF M-dominant,METH: Chromatin Remodeling | RNA: Apoptosis Regulators,,-0.1944791661269663,0.2515434462300603,-0.2596335591618389,0.1432320707562811,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,CLEC7A,Immune | TIL/TMB positive,G2 | I,G2 | I,True,Immune,Immune | Innate Immunity,0.982564898486669,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,6.49077292220815,6.49077292220815,True,True,RF R-dominant,RNA: Innate Immunity,,0.4948692021248681,0.0031894748530099,0.2459552037745039,0.1533496153072273,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,MLPH,Immune | TIL/TMB negative,G4 | L,G4 | L,True,Immune,Immune | Cytokine Signaling,1.4572674894936417,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,14.0320811584933,14.0320811584933,True,True,RF R-dominant,RNA: NKCell Markers,,-0.3220871859571603,0.0612150803316627,-0.3959577652796434,0.0281803814870105,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,MMP10,Immune | TIL/TMB negative,G4 | L,G4 | L,True,Immune,Immune | Innate Immunity,1.4141746215757354,Meth-RNA inverse,Meth-RNA inverse,True,7.20634412712766,7.20634412712766,0.0,0.0,True,True,RF M-dominant,METH: mTOR Signaling | RNA: Apoptosis Regulators,,-0.1839903170192619,0.2733498367374637,-0.3542081581645688,0.0407072107152679,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,MYO1G,Immune | TIL/TMB weak,G3 | L-like,G3 | L-like,True,Immune,Immune | Treg Markers,1.72632618943479,Meth-RNA inverse,Meth-RNA inverse,True,7.48380687947434,7.48380687947434,1.8042011796362,1.8042011796362,True,True,RF M-dominant,METH: Treg Markers | RNA: Antigen Processing,,0.3899807110478244,0.0211112750205377,0.0637472607417213,0.7187379460101533,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,RASAL3,Immune | TIL/TMB weak,G3 | L-like,G3 | L-like,True,Immune,Immune | Cytokine Signaling,1.8661352882833284,Meth-RNA inverse,Meth-RNA inverse,True,11.1408930689733,11.1408930689733,3.09599390164568,3.09599390164568,True,True,RF M-dominant,METH: Fatty Acid Metabolism | RNA: Apoptosis Regulators,,0.3273126775703849,0.0612150803316627,-0.1072321815999653,0.523770110355158,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,SPDEF,Immune | TIL/TMB negative,G4 | L,G4 | L,True,Fatty acid,Fatty Acid Metabolism,1.4456185911681825,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,0.0,0.0,True,True,RF n/a,RNA: Apoptosis Regulators,,-0.2602900677485916,0.1303210505801757,-0.1502067160631593,0.3750607126451075,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,TFF1,Immune | TIL/TMB weak,G1 | H,G1 | H,True,Immune,Immune | Macrophage Activation,2.076604471906399,Meth-RNA inverse,Meth-RNA inverse,True,9.57387790260447,9.57387790260447,0.0,0.0,True,True,RF M-dominant,METH: Macrophage Activation | RNA: Apoptosis Regulators,,-0.1041765559503941,0.5182709197640668,-0.2002450169856542,0.2422706568850666,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,TRAF3IP3,Immune | TIL/TMB weak,G1 | H,G1 | H,True,Immune,Immune | Innate Immunity,1.6430397573664797,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,3.51559655026483,3.51559655026483,True,True,RF R-dominant,RNA: Innate Immunity,,0.4362149520604852,0.0113223609350958,-0.0020925842197042,0.9886146136961336,"TIL/TMB recomputed, TMB outliers excluded",True
Immune,ZMYND10,Immune | TIL/TMB weak,G3 | L-like,G3 | L-like,True,Kinase signaling,mTOR Signaling,1.3553073606429102,Meth-RNA positive,Meth-RNA positive,True,0.0,0.0,7.09211060266066,7.09211060266066,True,True,RF R-dominant,RNA: mTOR Signaling,,-0.1301450338742958,0.4254270434042107,-0.4109631252941078,0.0281803814870105,"TIL/TMB recomputed, TMB outliers excluded",True
DepMap,EVL,"Drug | PI3K/mTOR
Sensitive",G1 | H,G1 | H,True,Glycolysis / TCA,TCA Cycle,1.0948899992085592,Meth-RNA inverse,Meth-RNA inverse,True,0.0,0.0,4.97696373803674,4.97696373803674,True,True,RF R-dominant,RNA: TCA Cycle,0.2009278928805031,,,,,DepMap FDR<=0.25 curated,True
