domain,gene,status
DepMap,EVL,matched_supplement_and_sankey
DepMap,LRRC10B,matched_supplement_and_sankey
DepMap,MLPH,matched_supplement_and_sankey
DepMap,SLC44A4,matched_supplement_and_sankey
DepMap,TFF1,matched_supplement_and_sankey
DepMap,ZMYND10,matched_supplement_and_sankey
Immune,AURKB,matched_supplement_and_sankey
Immune,C1QTNF6,matched_supplement_and_sankey
Immune,CLEC7A,matched_supplement_and_sankey
Immune,MLPH,matched_supplement_and_sankey
Immune,MMP10,matched_supplement_and_sankey
Immune,MYO1G,matched_supplement_and_sankey
Immune,RASAL3,matched_supplement_and_sankey
Immune,SPDEF,matched_supplement_and_sankey
Immune,TFF1,matched_supplement_and_sankey
Immune,TRAF3IP3,matched_supplement_and_sankey
Immune,ZMYND10,matched_supplement_and_sankey
OS,BCL2A1,matched_supplement_and_sankey
OS,CHAF1B,matched_supplement_and_sankey
OS,CPLX1,matched_supplement_and_sankey
